symbol,name,market,source_date
2330,台積電,TWSE,2026-09-14
2454,聯發科,TWSE,2026-09-14
2308,台達電,TWSE,2026-09-14
2317,鴻海,TWSE,2026-09-14
3711,日月光投控,TWSE,2026-09-14
2881,富邦金,TWSE,2026-09-14
2383,台光電,TWSE,2026-09-14
2303,聯電,TWSE,2026-09-14
2882,國泰金,TWSE,2026-09-14
3037,欣興,TWSE,2026-09-14
2891,中信金,TWSE,2026-09-14
1303,南亞,TWSE,2026-09-14
2345,智邦,TWSE,2026-09-14
2382,廣達,TWSE,2026-09-14
2408,南亞科,TWSE,2026-09-14
7769,鴻勁,TWSE,2026-09-14
2412,中華電,TWSE,2026-09-14
2327,國巨,TWSE,2026-09-14
6669,緯穎,TWSE,2026-09-14
3017,奇鋐,TWSE,2026-09-14
2885,元大金,TWSE,2026-09-14
2887,台新新光金,TWSE,2026-09-14
2360,致茂,TWSE,2026-09-14
2886,兆豐金,TWSE,2026-09-14
2059,川湖,TWSE,2026-09-14
6505,台塑化,TWSE,2026-09-14
2884,玉山金,TWSE,2026-09-14
2880,華南金,TWSE,2026-09-14
2357,華碩,TWSE,2026-09-14
2890,永豐金,TWSE,2026-09-14
8046,南電,TWSE,2026-09-14
2344,華邦電,TWSE,2026-09-14
3231,緯創,TWSE,2026-09-14
2892,第一金,TWSE,2026-09-14
3008,大立光,TWSE,2026-09-14
2356,英業達,TWSE,2026-09-14
2404,漢唐,TWSE,2026-09-14
6515,穎崴,TWSE,2026-09-14
3533,嘉澤,TWSE,2026-09-14
2313,華通,TWSE,2026-09-14
2337,旺宏,TWSE,2026-09-14
5871,中租-KY,TWSE,2026-09-14
3044,健鼎,TWSE,2026-09-14
3702,大聯大,TWSE,2026-09-14
1101,台泥,TWSE,2026-09-14
2409,友達,TWSE,2026-09-14
6239,力成,TWSE,2026-09-14
2609,陽明,TWSE,2026-09-14
2834,臺企銀,TWSE,2026-09-14
6139,亞翔,TWSE,2026-09-14
2883,凱基金,TWSE,2026-09-14
3443,創意,TWSE,2026-09-14
3653,健策,TWSE,2026-09-14
2395,研華,TWSE,2026-09-14
2301,光寶科,TWSE,2026-09-14
6446,藥華藥,TWSE,2026-09-14
4958,臻鼎-KY,TWSE,2026-09-14
2603,長榮,TWSE,2026-09-14
5880,合庫金,TWSE,2026-09-14
1216,統一,TWSE,2026-09-14
3045,台灣大,TWSE,2026-09-14
2368,金像電,TWSE,2026-09-14
3665,貿聯-KY,TWSE,2026-09-14
4904,遠傳,TWSE,2026-09-14
3481,群創,TWSE,2026-09-14
2379,瑞昱,TWSE,2026-09-14
1301,台塑,TWSE,2026-09-14
1326,台化,TWSE,2026-09-14
3189,景碩,TWSE,2026-09-14
3034,聯詠,TWSE,2026-09-14
2207,和泰車,TWSE,2026-09-14
2002,中鋼,TWSE,2026-09-14
2801,彰銀,TWSE,2026-09-14
2449,京元電子,TWSE,2026-09-14
1590,亞德客-KY,TWSE,2026-09-14
3661,世芯-KY,TWSE,2026-09-14
6770,力積電,TWSE,2026-09-14
3036,文曄,TWSE,2026-09-14
2615,萬海,TWSE,2026-09-14
2618,長榮航,TWSE,2026-09-14
2912,統一超,TWSE,2026-09-14
4938,和碩,TWSE,2026-09-14
2376,技嘉,TWSE,2026-09-14
5876,上海商銀,TWSE,2026-09-14
1519,華城,TWSE,2026-09-14
6415,矽力-KY,TWSE,2026-09-14
6919,康霈,TWSE,2026-09-14
